property_type,property_subtype,living_area_m2,bedrooms,bathrooms,postal_code,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,km_from_nearby_city,is_nearby_city_prestigious,floor_number,coord_swapped,urban_density,property_age,living_area_ratio,bedroom_density,average_room_size,living_area_squared,external_area_dominance_index
Apartment,apartment,79.0,2.0,1.0,3980,51.07048,5.091363,1976.0,Normal,0,0,,,0,,,0,,0,,C,Flanders,Limburg,12.6,0,,False,,50.0,,0.02531645569620253,39.5,6241.0,
House,residence,149.0,3.0,1.0,4681,50.7081463,5.6601736,1930.0,Normal,0,0,,Partially equipped,0,3.0,2.0,1,354.0,1,425.0,D,Wallonia,Liège,10.1,0,,False,716.1601764440761,96.0,0.35058823529411764,0.020134228187919462,49.666666666666664,22201.0,0.6494117647058824
Apartment,apartment,119.0,2.0,2.0,1020,50.8900331,4.3745984,2002.0,Excellent,0,1,1.0,Super equipped,1,2.0,3.0,0,,1,,C,Brussels,Brussels Capital Region,4.7,0,1.0,False,5993.831924903229,24.0,,0.01680672268907563,59.5,14161.0,
House,residence,201.0,4.0,1.0,6700,49.6833333,5.8166667,,To renovate,0,1,1.0,,0,4.0,1.0,1,,0,2420.0,C,Wallonia,Luxembourg,0.0,0,,False,264.5100871196674,,0.08305785123966943,0.01990049751243781,50.25,40401.0,0.9169421487603305
House,residence,80.0,2.0,1.0,8930,50.7873366,3.1283242,,Normal,0,0,,Partially equipped,0,2.0,,0,,0,61.0,E,Flanders,West Flanders,7.7,0,,False,1042.8778181282994,,1.3114754098360655,0.025,40.0,6400.0,-0.3114754098360655
House,residence,134.0,3.0,1.0,9340,50.96589,3.97743,,New,0,0,,,0,3.0,,1,,0,310.0,,Flanders,East Flanders,5.4,0,,False,649.8485695324549,,0.432258064516129,0.022388059701492536,44.666666666666664,17956.0,0.567741935483871
House,villa,250.0,4.0,2.0,8420,51.3001564,3.0894365,1997.0,Excellent,0,1,,Fully equipped,0,4.0,,1,400.0,1,710.0,B,Flanders,West Flanders,13.8,0,,False,273.30932594759696,29.0,0.352112676056338,0.016,62.5,62500.0,0.647887323943662
House,residence,223.0,5.0,2.0,8930,50.7904546,3.1658604,1991.0,Excellent,0,1,1.0,,0,3.0,,1,,1,472.0,B,Flanders,West Flanders,6.2,0,,False,1042.8778181282994,35.0,0.4724576271186441,0.02242152466367713,44.6,49729.0,0.527542372881356
Apartment,apartment,85.0,2.0,1.0,1090,50.8808582,4.3227894,1964.0,Normal,0,0,,Partially equipped,1,2.0,,0,,1,,E,Brussels,Brussels Capital Region,4.0,0,5.0,False,10480.997862797387,62.0,,0.023529411764705882,42.5,7225.0,
House,mixed-building,220.0,3.0,1.0,8790,50.8910231,3.4279556,,Excellent,0,0,,,0,2.0,3.0,1,100.0,1,373.0,F,Flanders,West Flanders,0.1,0,,False,908.6719754535416,,0.5898123324396782,0.013636363636363636,73.33333333333333,48400.0,0.41018766756032177
House,residence,155.0,3.0,1.0,9340,50.9612713,3.9951814,1937.0,Normal,0,0,,Super equipped,0,4.0,4.0,0,,1,195.0,E,Flanders,East Flanders,4.1,0,,False,649.8485695324549,89.0,0.7948717948717948,0.01935483870967742,51.666666666666664,24025.0,0.20512820512820518
House,villa,180.0,3.0,1.0,1950,50.8348579,4.4783496,1960.0,Excellent,0,1,1.0,Super equipped,0,4.0,1.0,1,150.0,1,509.0,D,Flanders,Flemish Brabant,2.9,1,,False,2388.7157912769653,66.0,0.35363457760314343,0.016666666666666666,60.0,32400.0,0.6463654223968566
House,residence,45.0,1.0,1.0,4100,50.6033855,5.51572059,,Normal,0,0,,,0,2.0,,0,,1,51.0,E,Wallonia,Liège,5.6,0,,False,1833.100313298191,,0.8823529411764706,0.022222222222222223,45.0,2025.0,0.11764705882352944
House,residence,105.0,2.0,1.0,6200,50.4158684,4.5195068,,To renovate,0,0,,,0,4.0,,0,,0,,G,Wallonia,Hainaut,5.3,0,,False,1315.7002423799884,,,0.01904761904761905,52.5,11025.0,
House,residence,166.0,4.0,1.0,7700,50.7459126,3.219272,1969.0,Normal,0,0,,,0,3.0,,1,121.0,1,314.0,E,Wallonia,Hainaut,0.5,0,,False,1484.477213875128,57.0,0.5286624203821656,0.024096385542168676,41.5,27556.0,0.4713375796178344
House,residence,132.0,3.0,1.0,2570,51.0980628,4.5051426,,New,0,0,,,0,3.0,,0,,0,354.0,,Flanders,Antwerp,8.3,0,,False,800.9459408954302,,0.3728813559322034,0.022727272727272728,44.0,17424.0,0.6271186440677966
House,residence,159.0,3.0,1.0,2610,51.16416,4.398666,2026.0,New,0,0,,,0,,2.0,1,46.0,1,112.0,,Flanders,Antwerp,6.1,0,,False,2699.1056940804588,0.0,1.4196428571428572,0.018867924528301886,53.0,25281.0,-0.4196428571428572
Apartment,apartment,113.0,2.0,1.0,1070,50.8412782,4.3395613,1952.0,Normal,0,0,,Fully equipped,1,2.0,5.0,0,,0,,D,Brussels,Brussels Capital Region,1.3,0,1.0,False,7185.624093582328,74.0,,0.017699115044247787,56.5,12769.0,
Apartment,ground-floor,91.0,2.0,1.0,4620,50.6209081,5.6957552,1986.0,Normal,0,1,1.0,Partially equipped,0,2.0,2.0,1,320.0,1,,D,Wallonia,Liège,8.3,0,,False,1196.6087628668017,40.0,,0.02197802197802198,45.5,8281.0,
House,residence,168.0,5.0,1.0,8902,50.8326247,2.915139,1957.0,To renovate,0,1,1.0,,0,2.0,,1,,0,381.0,D,Flanders,West Flanders,19.2,0,,False,270.71418336991593,69.0,0.4409448818897638,0.02976190476190476,33.6,28224.0,0.5590551181102362
Apartment,apartment,91.0,2.0,1.0,1000,50.8648307,4.3491892,,New,0,0,,,0,4.0,5.0,0,,1,,,Brussels,Brussels Capital Region,1.6,0,1.0,False,5993.831924903229,,,0.02197802197802198,45.5,8281.0,
House,residence,160.0,2.0,1.0,5060,50.4182043,4.6224097,,To renovate,0,1,2.0,Partially equipped,0,3.0,,1,80.0,0,299.0,F,Wallonia,Namur,12.6,0,,False,835.6379641877414,,0.5351170568561873,0.0125,80.0,25600.0,0.46488294314381273
House,villa,310.0,5.0,3.0,1180,50.8,4.3333333,1962.0,,0,1,1.0,,0,,2.0,1,370.0,1,786.0,F,Brussels,Brussels Capital Region,0.4,1,,False,3811.786011123928,64.0,0.3944020356234097,0.016129032258064516,62.0,96100.0,0.6055979643765903
Apartment,apartment,72.0,2.0,1.0,1731,50.8845036,4.2718907,1967.0,Excellent,0,0,,Super equipped,1,3.0,12.0,0,,1,,B,Flanders,Flemish Brabant,6.8,0,12.0,False,714.4768565547986,59.0,,0.027777777777777776,36.0,5184.0,
Apartment,apartment,136.0,3.0,1.0,4681,50.7186325,5.686073,,New,0,0,,Super equipped,1,3.0,2.0,0,,1,,,Wallonia,Liège,12.2,0,2.0,False,716.1601764440761,,,0.022058823529411766,45.333333333333336,18496.0,
Apartment,studio,42.0,,1.0,1140,50.8599241,4.4172194,2025.0,New,0,0,,Super equipped,1,2.0,4.0,1,,0,,A,Brussels,Brussels Capital Region,4.7,0,1.0,False,8954.908057056928,1.0,,,,1764.0,
